,Predictions
2023-08-22,1946.288828125
2023-08-23,2105.0845463867186
2023-08-24,1233.5625305175781
2023-08-25,2039.5666927490233
2023-08-26,1647.6349853515626
2023-08-27,2022.776041748047
2023-08-28,2784.4349365234375
2023-08-29,1162.0975036621094
2023-08-30,1146.9450073242188
2023-08-31,2019.2280029296876
2023-09-01,1709.0460224609376
2023-09-02,844.9600016276091
2023-09-03,2429.5422506510386
2023-09-04,1091.3299865722656
2023-09-05,3432.718119140625
2023-09-06,909.9437561035156
2023-09-07,1340.666707356773
2023-09-08,1277.9283650716152
2023-09-09,3666.7449951171875
2023-09-10,1685.6426901855468
2023-09-11,1080.733012451175
2023-09-12,2929.7753247070314
2023-09-13,1219.5350036621094
2023-09-14,1306.0700073242188
2023-09-15,2923.68994140625
2023-09-16,3717.401224609375
2023-09-17,2099.3900282117825
2023-09-18,1325.6899937220962
2023-09-19,3093.26823046875
2023-09-20,1319.8025207519531
2023-09-21,701.6375384521484
2023-09-22,950.491665649414
2023-09-23,1172.58251953125
2023-09-24,1251.739990234375
2023-09-25,1270.9375
2023-09-26,1183.1699829101562
2023-09-27,1827.6852333984375
2023-09-28,2888.6325073242188
2023-09-29,3222.7844638671877
2023-09-30,999.4745100097656
2023-10-01,3942.9383046875
2023-10-02,1095.4550170898438
2023-10-03,2438.6375122070312
2023-10-04,3323.334236328125
2023-10-05,1531.0975036621094
2023-10-06,2099.3900282117825
2023-10-07,2740.0569921875
2023-10-08,2573.7621801757814
2023-10-09,1051.9749755859375
2023-10-10,2163.72998046875
2023-10-11,782.5901804199219
2023-10-12,2041.0090720214844
2023-10-13,1055.129376220703
2023-10-14,1049.2699890136719
2023-10-15,1216.9814057617189
2023-10-16,3350.6485219726565
2023-10-17,1141.6800537109375
2023-10-18,2397.2270712890627
2023-10-19,2783.623018554692
2023-10-20,2111.482669189453
2023-10-21,1095.4550170898438
2023-10-22,1479.1166585286517
2023-10-23,838.5932025146484
2023-10-24,2379.298671875
2023-10-25,3913.969970703125
2023-10-26,1210.75
2023-10-27,1171.5070987060567
2023-10-28,1173.136678059893
2023-10-29,1685.9435048828125
2023-10-30,1097.7250366210938
2023-10-31,1208.2850341796875
2023-11-01,1002.6000061035156
2023-11-02,2079.4124125976564
2023-11-03,1118.290004185274
2023-11-04,1083.5333251953125
2023-11-05,1175.480021158857
2023-11-06,1036.245966796875
2023-11-07,1165.2170043945202
2023-11-08,3512.490843261719
2023-11-09,1200.7225036621094
2023-11-10,1987.839928466797
2023-11-11,1399.6239990234506
2023-11-12,2104.030029296875
2023-11-13,1967.4870805664063
2023-11-14,4555.296970703125
2023-11-15,1330.39200937501
2023-11-16,1335.123331705727
2023-11-17,2168.8943515625
2023-11-18,1310.0924682617188
2023-11-19,4274.0400390625
2023-11-20,1353.4002758789063
2023-11-21,1078.336669921875
2023-11-22,2057.919921875
2023-11-23,3222.7844638671877
2023-11-24,4614.057048828125
2023-11-25,1769.277483154297
2023-11-26,996.375
2023-11-27,2074.087913330078
2023-11-28,1202.219970703125
2023-11-29,1195.8600158691406
2023-11-30,1796.4541564941405
2023-12-01,1144.83251953125
2023-12-02,1724.400640625
2023-12-03,2071.219970703125
2023-12-04,3960.4079111328124
2023-12-05,1432.1499938964844
2023-12-06,1148.6433512369829
2023-12-07,3942.2054223632813
2023-12-08,1108.427490234375
2023-12-09,1316.139485758465
2023-12-10,2490.9462021484374
2023-12-11,1116.239990234375
2023-12-12,3935.796015625
2023-12-13,1357.0537194213866
2023-12-14,1178.9833170572942
2023-12-15,1110.2974853515625
2023-12-16,895.9299926757812
2023-12-17,3700.7741083984374
2023-12-18,1455.356689453125
2023-12-19,1142.9049886067671
2023-12-20,1682.847776611328
2023-12-21,798.125
2023-12-22,1107.5058791015656
2023-12-23,1850.7381904296874
2023-12-24,2187.1201171875
2023-12-25,1142.9049886067671
2023-12-26,3119.1933784179687
2023-12-27,1314.5125274658203
2023-12-28,1317.9699951171751
2023-12-29,1171.330004882815
2023-12-30,1073.9500122070312
2023-12-31,903.68998209636
2024-01-01,900.8274993896484
2024-01-02,1191.5299987792969
2024-01-03,1257.864013671875
2024-01-04,818.8150024414062
2024-01-05,3149.3512548828126
2024-01-06,2727.752482421875
2024-01-07,2021.0515966796875
2024-01-08,1427.469970703125
2024-01-09,2022.3699951171875
2024-01-10,1310.0924682617188
2024-01-11,2091.5979980468915
2024-01-12,1184.6824951171875
2024-01-13,1080.733012451175
2024-01-14,1097.7250366210938
2024-01-15,976.1466471354236
2024-01-16,852.0802106933594
2024-01-17,1837.420059326172
2024-01-18,1173.7528599330294
2024-01-19,1508.4150390625
2024-01-20,1455.356689453125
2024-01-21,1236.8719970703123
2024-01-22,993.9036921386719
2024-01-23,1111.3544370117188
2024-01-24,1315.167751736121
2024-01-25,2731.610107421875
2024-01-26,1655.7165120442776
2024-01-27,1301.5700073242188
2024-01-28,3574.39921875
2024-01-29,1472.1999999999925
2024-01-30,1191.5299987792969
2024-01-31,1310.0924682617188
2024-02-01,753.0731391601563
2024-02-02,2121.156299316406
2024-02-03,1406.066650390625
2024-02-04,1364.0685860770016
2024-02-05,1348.4854360351562
2024-02-06,1744.24276953125
2024-02-07,2822.3349609375
2024-02-08,2568.168724609375
2024-02-09,3992.321552734375
2024-02-10,1298.8199462890625
2024-02-11,4485.44598046875
2024-02-12,2748.800048828125
2024-02-13,3083.186259765625
2024-02-14,3517.803982421875
2024-02-15,1402.818017578112
2024-02-16,1182.52001953125
2024-02-17,1500.9846020507812
2024-02-18,1892.7751091308594
2024-02-19,973.9858602905274
2024-02-20,1313.39823852539
2024-02-21,1441.4366455078125
2024-02-22,1841.5625786132812
2024-02-23,1292.2974316406246
2024-02-24,1139.933349609375
2024-02-25,1122.969970703125
2024-02-26,1353.4002758789063
2024-02-27,1554.5035924072265
2024-02-28,1507.6279785156164
2024-02-29,1044.1537346191406
2024-03-01,2046.8766682942858
2024-03-02,4483.983231933594
2024-03-03,899.1116536458276
2024-03-04,4188.1298828125
2024-03-05,1270.1299743652344
2024-03-06,1938.5119847412109
2024-03-07,1353.219970703125
2024-03-08,1113.7525024414062
2024-03-09,1121.7825012207031
